mon,slope,version,plab,scenario,family,variant
Jun,0.934880465091196,v3.2.0,P4  (LAI=5.7),STATIC_ALS,LiDAR,full
Jul,0.939876725667805,v3.2.0,P4  (LAI=5.7),STATIC_ALS,LiDAR,full
Aug,0.925782682800971,v3.2.0,P4  (LAI=5.7),STATIC_ALS,LiDAR,full
Sep,0.89766492721269,v3.2.0,P4  (LAI=5.7),STATIC_ALS,LiDAR,full
Oct,0.889034905873286,v3.2.0,P4  (LAI=5.7),STATIC_ALS,LiDAR,full
Apr,1.11510638978477,v3.2.0,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
May,1.0315022532042,v3.2.0,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
Jun,1.03612453804058,v3.2.0,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
Jul,1.03952163412677,v3.2.0,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
Aug,1.02811873806227,v3.2.0,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
Sep,0.984431491369506,v3.2.0,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
Oct,0.960451496411762,v3.2.0,P4  (LAI=5.7),STATIC_ALS_DOPT,LiDAR,d_opt
Apr,0.95711564603146,v3.2.0,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
May,0.954512491357545,v3.2.0,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Jun,0.958307301929019,v3.2.0,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Jul,0.972818267000962,v3.2.0,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Aug,0.968043796477118,v3.2.0,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Sep,0.936103916006794,v3.2.0,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Oct,0.912997871897818,v3.2.0,P4  (LAI=5.7),DYN_S2_ATBD_NM,Sentinel-2,ATBD
Apr,0.960311322167253,v3.2.0,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
May,0.961278697496032,v3.2.0,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
Jun,0.967931107264326,v3.2.0,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
Jul,0.982538538760897,v3.2.0,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
Aug,0.977304757092212,v3.2.0,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
Sep,0.943614764709637,v3.2.0,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
Oct,0.919420867795843,v3.2.0,P4  (LAI=5.7),DYN_S2_OPT_NM,Sentinel-2,opt
Apr,0.968970411069569,v3.2.0,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
May,0.971297372906112,v3.2.0,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Jun,0.978124511807497,v3.2.0,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Jul,0.993203914105189,v3.2.0,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Aug,0.988304582434026,v3.2.0,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Sep,0.954166052305763,v3.2.0,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Oct,0.926623248406453,v3.2.0,P4  (LAI=5.7),DYN_ATBD_rfull_NM,S2 rescaled->LiDAR,ATBD
Apr,1.02114421878273,v3.2.0,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
May,1.03035973611134,v3.2.0,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Jun,1.0349757369377,v3.2.0,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Jul,1.058483765012,v3.2.0,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Aug,1.04420284574378,v3.2.0,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Sep,1.00180152159214,v3.2.0,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Oct,0.975729530137325,v3.2.0,P4  (LAI=5.7),DYN_OPT_rdopt_NM,S2 rescaled->LiDAR,opt
Apr,0.947161434380646,v3.2.0,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
May,0.939759352656841,v3.2.0,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Jun,0.937071464968959,v3.2.0,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Jul,0.956534559672536,v3.2.0,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Aug,0.949836042348693,v3.2.0,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Sep,0.922556879669734,v3.2.0,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Oct,0.902161980610961,v3.2.0,P4  (LAI=5.7),DYN_ALS_S2TIMING_NM,Fusion (ALS x S2-timing),ALS
Apr,0.940620203638078,v3.2.0,P4  (LAI=5.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
May,0.930999145581374,v3.2.0,P4  (LAI=5.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Jun,0.928460856953669,v3.2.0,P4  (LAI=5.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Jul,0.94528970220389,v3.2.0,P4  (LAI=5.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Aug,0.937056918123845,v3.2.0,P4  (LAI=5.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Sep,0.913523727895146,v3.2.0,P4  (LAI=5.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Oct,0.894420487979733,v3.2.0,P4  (LAI=5.7),DYN_ALSoOPT_S2TIMING_NM,Fusion (ALS x S2-timing),ALSxopt
Apr,0.982892977219206,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
May,0.982191811797203,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
Jun,0.981397963259574,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
Jul,0.979945509612992,v3.2.3 iter,P1  (LAI=0.5),STATIC_ALS,LiDAR,full
