relh,height,Tair,wind,RH,VPD,P,lab,version
1.49627792835236,43.3920599222183,23.4883906296694,4.64894705636254,51.9160048106396,1.38788749705019,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
1.63807165622711,47.5040780305862,23.4747315120176,4.92745353399567,51.853209292815,1.38855643619931,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.0
0.0284920819103718,0.826270375400782,23.7397948551699,0.280446264750319,54.674918994513,1.3282085118032,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
0.0888952985405922,2.57796365767717,23.7964902617241,0.327177111049249,53.4746266184452,1.36803859653338,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
0.156546890735626,4.53985983133316,23.8004934008656,0.407846764088837,53.0438401843143,1.38103787230617,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
0.232316687703133,6.73718394339085,23.7854198018059,0.516903512327438,52.8118860168819,1.38660258599504,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
0.317178845405579,9.19818651676178,23.7620886964225,0.649192412587422,52.6727864332821,1.38874007494266,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
0.412224471569061,11.9545096755028,23.7426542521826,0.819226091707258,52.5743994296264,1.39000130605986,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
0.518675565719605,15.0415914058685,23.7199560113292,1.05087213628401,52.4940042834572,1.39045769859977,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
0.637900829315186,18.4991240501404,23.7018936907659,1.36686438189748,52.4309580765556,1.39079074724986,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
0.771433055400848,22.3715586066246,23.6937896895279,1.97116452367987,52.3865562525811,1.39141026894169,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
0.920989215373993,26.7086872458458,23.6467515122044,2.88141992321757,52.3129502320886,1.38962169394026,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
1.07089686393738,31.056009054184,23.5681973483393,3.62723213442362,52.1942734250224,1.38650629186624,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
1.21269059181213,35.1680271625519,23.5458720723137,4.43577660962206,52.1580463856796,1.38569227338959,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
1.3544842004776,39.2800418138504,23.5287534619941,5.12853041160954,52.1241475676677,1.38524476729281,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
1.49627792835236,43.3920599222183,23.5146309941193,5.72713076938046,52.0915773580424,1.38500814514814,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
1.63807165622711,47.5040780305862,23.5025678790984,6.24948765370038,52.0600321513151,1.38491304657937,P2,"P2 (LAI 3.4, Hmax 28m)",v3.2.3 iter
0.0284920819103718,1.02571494877338,23.373382051395,1.62051775659653,55.0231972588879,1.28923121338123,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
0.0888952985405922,3.20023074746132,23.5029713615043,1.73495272007552,54.2513338837654,1.32164179317694,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
0.156546890735626,5.63568806648254,23.5604435488175,1.88150935420573,53.9537757135593,1.334852001058,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
0.232316687703133,8.36340075731278,23.6120961340399,2.04419344592371,53.6949651595644,1.3465368686081,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
0.317178845405579,11.4184384346008,23.6590571836044,2.22252791839056,53.4471114500141,1.35757693417714,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
0.412224471569061,14.8400809764862,23.692880832693,2.41888002711323,53.2137713661341,1.36716174450456,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
0.518675565719605,18.6723203659058,23.6995546768272,2.62707573678243,52.9965698273261,1.37406038199249,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
0.637900829315186,22.9644298553467,23.6994411947949,2.84456136087821,52.8049382222932,1.3796529649883,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
0.771433055400848,27.7715899944305,23.7034346616985,3.08686869827613,52.6377390280212,1.38487342896512,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
0.920989215373993,33.1556117534637,23.6792382245507,3.3592443056201,52.4730431182434,1.38766718787901,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
1.05625879764557,38.0253167152405,23.5676530348147,3.62723213442362,52.1361433097231,1.38814672522492,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
1.16877639293671,42.0759501457214,23.5393157125171,3.92521703613749,52.0570670510597,1.38806867935511,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
1.28129398822784,46.1265835762024,23.5205038768998,4.19854656965192,51.9843808047552,1.38859842979275,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
1.39381158351898,50.1772170066834,23.5066615703979,4.45038691374774,51.9165232563837,1.3894015021719,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
1.50632917881012,54.2278504371643,23.4958932011506,4.68323490817527,51.8514770190923,1.39037852460026,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.0
0.0284920819103718,1.02571494877338,23.3872474545339,0.184003431545927,55.9868664244253,1.26266378265624,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
0.0888952985405922,3.20023074746132,23.5969732565959,0.215549778053283,54.1810115694012,1.33119002666837,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
0.156546890735626,5.63568806648254,23.7007582867732,0.270593683242981,53.4350460205403,1.36134091097384,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
0.232316687703133,8.36340075731278,23.7562304887616,0.350312184692549,52.993440184937,1.37884510437129,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
0.317178845405579,11.4184384346008,23.77795124992,0.466754670326135,52.7382561841925,1.38814258749959,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
0.412224471569061,14.8400809764862,23.7729587909303,0.643801228453716,52.5740031137718,1.39254877450691,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
0.518675565719605,18.6723203659058,23.7409531056555,0.887569971362261,52.4649051218851,1.39306792736053,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
0.637900829315186,22.9644298553467,23.7117641261367,1.2053921570177,52.3909287507367,1.39278801028962,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
0.771433055400848,27.7715899944305,23.6922732327154,1.73383919725734,52.3374196710104,1.3927190956987,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
0.920989215373993,33.1556117534637,23.6584003886239,2.67361248256079,52.2875601778309,1.39133680411059,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
1.05625879764557,38.0253167152405,23.5701330466349,3.62723213442362,52.2058357999926,1.38633256927235,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
1.16877639293671,42.0759501457214,23.5471142878298,4.30383863300085,52.1825759872619,1.38508544373741,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
1.28129398822784,46.1265835762024,23.5299426469647,4.90044359602238,52.1587912714192,1.3843415625249,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
1.39381158351898,50.1772170066834,23.5159887762018,5.42833191017961,52.1344460144253,1.38388204873986,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
1.50632917881012,54.2278504371643,23.5041847270695,5.89830075269514,52.1096763886329,1.38361370074258,P3,"P3 (LAI 4.7, Hmax 36m)",v3.2.3 iter
0.0284920819103718,0.854762457311153,23.2129788258037,1.50404690210122,55.9571652425951,1.25029649231714,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
0.0888952985405922,2.66685895621777,23.3900190509734,1.64216044913631,55.0839498449319,1.28878237702581,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
0.156546890735626,4.69640672206879,23.5121358068915,1.80900348898003,54.6014448445472,1.31225184131418,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
0.232316687703133,6.96950063109398,23.6068870502743,1.99228857123787,54.1769451743721,1.33210315053145,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
0.317178845405579,9.51536536216736,23.6479517868959,2.18321930036926,53.7974674147604,1.34645948660281,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
0.412224471569061,12.3667341470718,23.6682094553129,2.37735420198796,53.4655114352094,1.35778809128462,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
0.518675565719605,15.5602669715881,23.6753073770492,2.57787475020426,53.1717991418209,1.36694186707721,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
0.637900829315186,19.1370248794556,23.676136771447,2.78456540731459,52.9193327011967,1.3743801066371,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
0.771433055400848,23.1429916620255,23.6840301513672,3.02309403998034,52.7132482769048,1.38105200896062,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
0.920989215373993,27.6296764612198,23.6673265300814,3.30657935018341,52.5233533568872,1.38520486529381,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
1.06729471683502,32.0188415050507,23.5681405656325,3.62723213442362,52.1115167747953,1.38890172730888,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
1.20188426971436,36.0565280914307,23.5426315390999,3.98889309896635,52.0116650142293,1.38966074781387,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
1.3364737033844,40.094211101532,23.526190068813,4.31531905505012,51.9243632445799,1.3908105302793,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
1.47106325626373,44.131897687912,23.5142659505208,4.61194162123679,51.8440392787069,1.39213372382527,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
1.60565268993378,48.1695806980133,23.5050267120528,4.88288887337746,51.7672649731743,1.39357711668497,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.0
0.0284920819103718,0.854762457311153,23.2176370089172,0.204248592204063,56.1246596880223,1.24589206067501,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
0.0888952985405922,2.66685895621777,23.5532676655087,0.253713728307843,54.3045183253404,1.32411172019935,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
0.156546890735626,4.69640672206879,23.7483911399633,0.334648469104203,53.3759824418236,1.3669792694334,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
0.232316687703133,6.96950063109398,23.806054437356,0.452787148191141,52.9272883091585,1.38492878715872,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
0.317178845405579,9.51536536216736,23.7802276444565,0.607192727370707,52.7185931869435,1.38891023534976,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
0.412224471569061,12.3667341470718,23.7485789147883,0.795044532478304,52.5891259699156,1.39006497809955,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
0.518675565719605,15.5602669715881,23.7177647491622,1.02727190237187,52.4930295336422,1.39030292933352,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
0.637900829315186,19.1370248794556,23.6915392265946,1.30889287276468,52.4189981157554,1.39027393375718,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
0.771433055400848,23.1429916620255,23.676823917243,1.78296679989155,52.3631611187554,1.3906733908602,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
0.920989215373993,27.6296764612198,23.6499836239007,2.6696450516093,52.3076516071025,1.39004651358478,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
1.06729471683502,32.0188415050507,23.5705928948408,3.62723213442362,52.198207196944,1.38659225029102,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
1.20188426971436,36.0565280914307,23.5484736541582,4.32312787499258,52.1654857036055,1.3856939505209,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
1.3364737033844,40.094211101532,23.5321475002936,4.93346502399835,52.1341826124622,1.38523764184353,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
1.47106325626373,44.131897687912,23.518930970906,5.47106979913562,52.1034381781279,1.38502405586796,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
1.60565268993378,48.1695806980133,23.5077737943723,5.94783459066368,52.0730676777325,1.38497087406855,P4,"P4 (LAI 5.7, Hmax 30m)",v3.2.3 iter
