period,tod,relh,height,Tair,wind,RH,VPD,P,version
hot10,global,0.771433055400848,13.1143619418144,24.0911438379533,2.83636812349925,54.1900511912802,1.37105271391986,P1,v3.2.3 iter
hot10,global,0.920989215373993,15.6568166613579,24.088394908416,2.89184715426885,54.1653733128597,1.37156507825672,P1,v3.2.3 iter
hot10,global,1.11785507202148,19.0035362243652,24.0761223426232,3.14926423266148,54.0925000444793,1.37273457403601,P1,v3.2.3 iter
hot10,global,1.35356509685516,23.0106066465378,24.0720844366612,3.61767134251885,54.0647518591859,1.3732315497668,P1,v3.2.3 iter
hot10,global,1.58927512168884,27.0176770687103,24.0684369991988,4.03505741499173,54.0397660600042,1.37367781802865,P1,v3.2.3 iter
hot10,global,1.82498526573181,31.0247495174408,24.0651351341835,4.40889920408909,54.0166893259601,1.3740952646174,P1,v3.2.3 iter
hot10,global,2.0606951713562,35.0318179130554,24.062137075571,4.74561427781979,53.995075487928,1.37449383695212,P1,v3.2.3 iter
JJAS,day,0.0284920819103718,0.826270375400782,23.6761613689486,1.54514405406157,54.6560836913709,1.32368278448488,P2,v3.2.0
JJAS,day,0.0888952985405922,2.57796365767717,23.7507422441993,1.66257222380509,53.9452022726811,1.35048116174775,P2,v3.2.0
JJAS,day,0.156546890735626,4.53985983133316,23.7771793052798,1.8204723592298,53.678622156251,1.36045958550796,P2,v3.2.0
JJAS,day,0.232316687703133,6.73718394339085,23.7875392726211,1.99318733159962,53.4674296128171,1.36751399419382,P2,v3.2.0
JJAS,day,0.317178845405579,9.19818651676178,23.7834655928482,2.17132069066655,53.2653062571614,1.37311765710479,P2,v3.2.0
JJAS,day,0.412224471569061,11.9545096755028,23.7781067561583,2.36053408330174,53.0812429734076,1.37808147967815,P2,v3.2.0
JJAS,day,0.518675565719605,15.0415914058685,23.7646742690457,2.56784105626612,52.9100336420603,1.38199332977232,P2,v3.2.0
JJAS,day,0.637900829315186,18.4991240501404,23.7531282852257,2.79286931090749,52.7578701847853,1.38549654741763,P2,v3.2.0
JJAS,day,0.771433055400848,22.3715586066246,23.7533232308477,3.062906114354,52.6311078225953,1.38923046788242,P2,v3.2.0
JJAS,day,0.920989215373993,26.7086872458458,23.6842906347389,3.35860301497204,52.4614976661126,1.38842637552228,P2,v3.2.0
JJAS,day,1.07089686393738,31.056009054184,23.5585366170915,3.62723213442362,52.1338735758557,1.38745047901565,P2,v3.2.0
JJAS,day,1.21269059181213,35.1680271625519,23.5269901963531,4.00428933076194,52.0524947503685,1.38717060311518,P2,v3.2.0
JJAS,day,1.3544842004776,39.2800418138504,23.5051293545082,4.34279197731305,51.9814549745387,1.38739715640092,P2,v3.2.0
JJAS,day,1.49627792835236,43.3920599222183,23.4883906296694,4.64894705636254,51.9160048106396,1.38788749705019,P2,v3.2.0
JJAS,day,1.63807165622711,47.5040780305862,23.4747315120176,4.92745353399567,51.853209292815,1.38855643619931,P2,v3.2.0
JJAS,night,0.0284920819103718,0.826270375400782,15.8913141719631,1.23395789129649,84.2163856626857,0.284370901366227,P2,v3.2.0
JJAS,night,0.0888952985405922,2.57796365767717,15.6853186852294,1.32773403015212,84.6923874572692,0.2721880431503,P2,v3.2.0
JJAS,night,0.156546890735626,4.53985983133316,15.6188506913315,1.45383215734297,84.8354760998344,0.268499632099433,P2,v3.2.0
JJAS,night,0.232316687703133,6.73718394339085,15.5758773970474,1.59176118769607,84.9061792912606,0.266513785735588,P2,v3.2.0
JJAS,night,0.317178845405579,9.19818651676178,15.5431018516666,1.73401632638333,84.929511259201,0.265544053065371,P2,v3.2.0
JJAS,night,0.412224471569061,11.9545096755028,15.5169066799143,1.88511923468504,84.9336030447319,0.265027039960127,P2,v3.2.0
JJAS,night,0.518675565719605,15.0415914058685,15.4989911522371,2.05067127955253,84.9049316788925,0.265226897345061,P2,v3.2.0
JJAS,night,0.637900829315186,18.4991240501404,15.4860286441657,2.23037495081379,84.8672073215868,0.265669063426258,P2,v3.2.0
JJAS,night,0.771433055400848,22.3715586066246,15.4715149926358,2.44602372485106,84.8577353162575,0.265588315985455,P2,v3.2.0
JJAS,night,0.920989215373993,26.7086872458458,15.5078929463371,2.68216422949332,84.5692284661216,0.271279967189879,P2,v3.2.0
JJAS,night,1.07089686393738,31.056009054184,15.5945180507306,2.90377140191735,83.9319951204456,0.284053800155363,P2,v3.2.0
