mo,version,scenario,n,sl_r2,month,label
2021-06,v3.2.3 iter,DYN_S2_ATBD_NM,53,0.735962273048716,06,S2 ATBD
2021-07,v3.2.3 iter,DYN_S2_ATBD_NM,53,0.751675123531098,07,S2 ATBD
2021-08,v3.2.3 iter,DYN_S2_ATBD_NM,53,0.70873585461257,08,S2 ATBD
2021-09,v3.2.3 iter,DYN_S2_ATBD_NM,53,0.763287833054063,09,S2 ATBD
2021-10,v3.2.3 iter,DYN_S2_ATBD_NM,52,0.660978973652719,10,S2 ATBD
2021-11,v3.2.3 iter,DYN_S2_ATBD_NM,52,0.188244872321935,11,S2 ATBD
2021-04,v3.2.3 iter,DYN_S2_OPT_NM,30,0.0909693382370593,04,S2 opt
2021-05,v3.2.3 iter,DYN_S2_OPT_NM,53,0.697153768994938,05,S2 opt
2021-06,v3.2.3 iter,DYN_S2_OPT_NM,53,0.722464561649821,06,S2 opt
2021-07,v3.2.3 iter,DYN_S2_OPT_NM,53,0.738483018108647,07,S2 opt
2021-08,v3.2.3 iter,DYN_S2_OPT_NM,53,0.688008597674357,08,S2 opt
2021-09,v3.2.3 iter,DYN_S2_OPT_NM,53,0.73701317695566,09,S2 opt
2021-10,v3.2.3 iter,DYN_S2_OPT_NM,52,0.630304047284309,10,S2 opt
2021-11,v3.2.3 iter,DYN_S2_OPT_NM,52,0.161833787087713,11,S2 opt
2021-04,v3.2.3 iter,DYN_ATBD_rfull_NM,30,0.0429234261090991,04,S2 ATBD x->full
2021-05,v3.2.3 iter,DYN_ATBD_rfull_NM,53,0.647227788653549,05,S2 ATBD x->full
2021-06,v3.2.3 iter,DYN_ATBD_rfull_NM,53,0.727578259398452,06,S2 ATBD x->full
2021-07,v3.2.3 iter,DYN_ATBD_rfull_NM,53,0.722519261296979,07,S2 ATBD x->full
2021-08,v3.2.3 iter,DYN_ATBD_rfull_NM,53,0.682718968035649,08,S2 ATBD x->full
2021-09,v3.2.3 iter,DYN_ATBD_rfull_NM,53,0.756431742715277,09,S2 ATBD x->full
2021-10,v3.2.3 iter,DYN_ATBD_rfull_NM,52,0.62494887269334,10,S2 ATBD x->full
2021-11,v3.2.3 iter,DYN_ATBD_rfull_NM,52,0.155220784706048,11,S2 ATBD x->full
2021-04,v3.2.3 iter,DYN_OPT_rdopt_NM,30,0.000178350718296239,04,S2 opt x->d_opt
